(XEN) flush_counter:405, diff_time:60000, aver_flu_cnt:40500
(XEN) flush_counter:20, diff_time:60005, aver_flu_cnt:1999
(XEN) flush_counter:23, diff_time:60004, aver_flu_cnt:2299
(XEN) flush_counter:17, diff_time:60003, aver_flu_cnt:1699
(XEN) flush_counter:21, diff_time:60000, aver_flu_cnt:2100
(XEN) flush_counter:8, diff_time:60000, aver_flu_cnt:800
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:1, diff_time:60002, aver_flu_cnt:99
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) sum_aver_flu_cnt:989
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0

(XEN) flush_counter:9272, diff_time:60008, aver_flu_cnt:927076
(XEN) flush_counter:9202, diff_time:60002, aver_flu_cnt:920169
(XEN) flush_counter:8827, diff_time:60003, aver_flu_cnt:882655
(XEN) flush_counter:9101, diff_time:60006, aver_flu_cnt:910008
(XEN) flush_counter:9212, diff_time:60000, aver_flu_cnt:921200
(XEN) flush_counter:8826, diff_time:60009, aver_flu_cnt:882467
(XEN) flush_counter:9241, diff_time:60002, aver_flu_cnt:924069
(XEN) flush_counter:8850, diff_time:60003, aver_flu_cnt:884955
(XEN) flush_counter:9157, diff_time:60000, aver_flu_cnt:915700
(XEN) flush_counter:8903, diff_time:60000, aver_flu_cnt:890300
(XEN) flush_counter:8993, diff_time:60000, aver_flu_cnt:899300
(XEN) flush_counter:9084, diff_time:60003, aver_flu_cnt:908354
(XEN) flush_counter:8849, diff_time:60005, aver_flu_cnt:884826
(XEN) flush_counter:9263, diff_time:60006, aver_flu_cnt:926207
(XEN) flush_counter:8917, diff_time:60003, aver_flu_cnt:891655
(XEN) flush_counter:9140, diff_time:60005, aver_flu_cnt:913923
(XEN) flush_counter:9116, diff_time:60000, aver_flu_cnt:911600
(XEN) flush_counter:8830, diff_time:60003, aver_flu_cnt:882955
(XEN) flush_counter:9110, diff_time:60000, aver_flu_cnt:911000
(XEN) flush_counter:8813, diff_time:60010, aver_flu_cnt:881153
(XEN) flush_counter:9241, diff_time:60008, aver_flu_cnt:923976
(XEN) flush_counter:9205, diff_time:60000, aver_flu_cnt:920500
(XEN) flush_counter:8869, diff_time:60003, aver_flu_cnt:886855
(XEN) flush_counter:9108, diff_time:60005, aver_flu_cnt:910724
(XEN) flush_counter:8786, diff_time:60007, aver_flu_cnt:878497
(XEN) flush_counter:9023, diff_time:60005, aver_flu_cnt:902224
(XEN) flush_counter:9158, diff_time:60000, aver_flu_cnt:915800
(XEN) flush_counter:8620, diff_time:60000, aver_flu_cnt:862000
(XEN) flush_counter:9336, diff_time:60000, aver_flu_cnt:933600
(XEN) flush_counter:8801, diff_time:60006, aver_flu_cnt:880011
(XEN) flush_counter:9146, diff_time:60006, aver_flu_cnt:914508
(XEN) flush_counter:9078, diff_time:60004, aver_flu_cnt:907739
(XEN) flush_counter:8775, diff_time:60004, aver_flu_cnt:877441
(XEN) flush_counter:9160, diff_time:60000, aver_flu_cnt:916000
(XEN) flush_counter:8823, diff_time:60003, aver_flu_cnt:882255
(XEN) flush_counter:9251, diff_time:60008, aver_flu_cnt:924976
(XEN) flush_counter:9371, diff_time:60000, aver_flu_cnt:937100
(XEN) flush_counter:8661, diff_time:60001, aver_flu_cnt:866085
(XEN) flush_counter:9270, diff_time:60000, aver_flu_cnt:927000
(XEN) flush_counter:8601, diff_time:60006, aver_flu_cnt:860013
(XEN) flush_counter:9028, diff_time:60007, aver_flu_cnt:902694
(XEN) flush_counter:9165, diff_time:60000, aver_flu_cnt:916500
(XEN) flush_counter:8693, diff_time:60001, aver_flu_cnt:869285
(XEN) flush_counter:9389, diff_time:60002, aver_flu_cnt:938868
(XEN) flush_counter:8880, diff_time:60000, aver_flu_cnt:888000
(XEN) flush_counter:9306, diff_time:60000, aver_flu_cnt:930600
(XEN) flush_counter:9110, diff_time:60003, aver_flu_cnt:910954
(XEN) flush_counter:8649, diff_time:60000, aver_flu_cnt:864900
(XEN) flush_counter:9234, diff_time:60000, aver_flu_cnt:923400
