(XEN) flush_counter:132367, diff_time:60008, aver_flu_cnt:13234935
(XEN) flush_counter:6373, diff_time:60003, aver_flu_cnt:637268
(XEN) flush_counter:696, diff_time:60001, aver_flu_cnt:69598
(XEN) flush_counter:38, diff_time:60001, aver_flu_cnt:3799
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:8488, diff_time:60007, aver_flu_cnt:848700
(XEN) flush_counter:9075, diff_time:60004, aver_flu_cnt:907439
(XEN) flush_counter:9258, diff_time:60000, aver_flu_cnt:925800
(XEN) flush_counter:9045, diff_time:60005, aver_flu_cnt:904424
(XEN) flush_counter:9075, diff_time:60002, aver_flu_cnt:907469
(XEN) flush_counter:5324, diff_time:60000, aver_flu_cnt:532400
(XEN) flush_counter:13, diff_time:60006, aver_flu_cnt:1299
(XEN) flush_counter:25, diff_time:60003, aver_flu_cnt:2499
(XEN) flush_counter:25, diff_time:60003, aver_flu_cnt:2499
(XEN) flush_counter:11, diff_time:60006, aver_flu_cnt:1099
(XEN) flush_counter:33, diff_time:60007, aver_flu_cnt:3299
(XEN) flush_counter:24, diff_time:60000, aver_flu_cnt:2400
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:2, diff_time:60005, aver_flu_cnt:199
(XEN) flush_counter:2, diff_time:60003, aver_flu_cnt:199
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60005, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
