(XEN) flush_counter:133134, diff_time:60001, aver_flu_cnt:13313178
(XEN) flush_counter:6277, diff_time:60000, aver_flu_cnt:627700
(XEN) flush_counter:779, diff_time:60003, aver_flu_cnt:77896
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:332, diff_time:60002, aver_flu_cnt:33198
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:11, diff_time:60001, aver_flu_cnt:1099
(XEN) flush_counter:3, diff_time:60000, aver_flu_cnt:300
(XEN) pgd_op_hypercall
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:15, diff_time:60001, aver_flu_cnt:1499
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0

