(XEN) flush_counter:132471, diff_time:60000, aver_flu_cnt:13247100
(XEN) flush_counter:5123, diff_time:60007, aver_flu_cnt:512240
(XEN) flush_counter:674, diff_time:60000, aver_flu_cnt:67400
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60007, aver_flu_cnt:0
(XEN) flush_counter:6524, diff_time:60004, aver_flu_cnt:652356
(XEN) flush_counter:9217, diff_time:60000, aver_flu_cnt:921700
(XEN) flush_counter:9327, diff_time:60005, aver_flu_cnt:932622
(XEN) flush_counter:9184, diff_time:60009, aver_flu_cnt:918262
(XEN) flush_counter:9346, diff_time:60000, aver_flu_cnt:934600
(XEN) flush_counter:8796, diff_time:60000, aver_flu_cnt:879600
(XEN) flush_counter:9183, diff_time:60008, aver_flu_cnt:918177
(XEN) flush_counter:9345, diff_time:60001, aver_flu_cnt:934484
(XEN) flush_counter:9180, diff_time:60002, aver_flu_cnt:917969
(XEN) flush_counter:9320, diff_time:60002, aver_flu_cnt:931968
(XEN) flush_counter:9190, diff_time:60005, aver_flu_cnt:918923
(XEN) flush_counter:9238, diff_time:60002, aver_flu_cnt:923769
(XEN) flush_counter:9361, diff_time:60000, aver_flu_cnt:936100
(XEN) flush_counter:9131, diff_time:60011, aver_flu_cnt:912932
(XEN) flush_counter:9349, diff_time:60001, aver_flu_cnt:934884
(XEN) flush_counter:9349, diff_time:60001, aver_flu_cnt:934884
(XEN) flush_counter:9349, diff_time:60001, aver_flu_cnt:934884
(XEN) flush_counter:9191, diff_time:60001, aver_flu_cnt:919084
(XEN) flush_counter:9226, diff_time:60003, aver_flu_cnt:922553
(XEN) flush_counter:9159, diff_time:60007, aver_flu_cnt:915793
(XEN) flush_counter:9342, diff_time:60004, aver_flu_cnt:934137
(XEN) flush_counter:9138, diff_time:60002, aver_flu_cnt:913769
(XEN) flush_counter:9403, diff_time:60003, aver_flu_cnt:940252
(XEN) flush_counter:9141, diff_time:60001, aver_flu_cnt:914084
(XEN) flush_counter:9232, diff_time:60005, aver_flu_cnt:923123
(XEN) flush_counter:9273, diff_time:60002, aver_flu_cnt:927269
(XEN) flush_counter:9273, diff_time:60002, aver_flu_cnt:927269
(XEN) flush_counter:9273, diff_time:60002, aver_flu_cnt:927269
(XEN) flush_counter:9235, diff_time:60001, aver_flu_cnt:923484
(XEN) flush_counter:9101, diff_time:60009, aver_flu_cnt:909963
(XEN) flush_counter:9269, diff_time:60000, aver_flu_cnt:926900
(XEN) flush_counter:7769, diff_time:60004, aver_flu_cnt:776848
(XEN) Domain 0 shutdown: rebooting machine.
(XEN) Resetting with ACPI MEMORY or I/O RESET_REG.
