(XEN) flush_counter:134185, diff_time:60004, aver_flu_cnt:13417605
(XEN) flush_counter:5461, diff_time:60002, aver_flu_cnt:546081
(XEN) flush_counter:1555, diff_time:60001, aver_flu_cnt:155497
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:71, diff_time:60003, aver_flu_cnt:7099
(XEN) flush_counter:7944, diff_time:60000, aver_flu_cnt:794400
(XEN) flush_counter:7224, diff_time:60000, aver_flu_cnt:722400
(XEN) flush_counter:13454, diff_time:60000, aver_flu_cnt:1345400
(XEN) flush_counter:12795, diff_time:60000, aver_flu_cnt:1279500
(XEN) flush_counter:12795, diff_time:60000, aver_flu_cnt:1279500
(XEN) flush_counter:10402, diff_time:60000, aver_flu_cnt:1040200
(XEN) flush_counter:9017, diff_time:60000, aver_flu_cnt:901700
(XEN) flush_counter:12400, diff_time:60000, aver_flu_cnt:1240000
(XEN) flush_counter:3027, diff_time:60001, aver_flu_cnt:302694
(XEN) flush_counter:1882, diff_time:60004, aver_flu_cnt:188187
(XEN) flush_counter:5164, diff_time:60004, aver_flu_cnt:516365
(XEN) flush_counter:904, diff_time:60000, aver_flu_cnt:90400
(XEN) flush_counter:342, diff_time:60003, aver_flu_cnt:34198
(XEN) flush_counter:855, diff_time:60002, aver_flu_cnt:85497
(XEN) flush_counter:321, diff_time:60000, aver_flu_cnt:32100
(XEN) flush_counter:0, diff_time:60002, aver_flu_cnt:0
(XEN) flush_counter:241, diff_time:60015, aver_flu_cnt:24093
(XEN) flush_counter:251, diff_time:60010, aver_flu_cnt:25095
(XEN) flush_counter:293, diff_time:60007, aver_flu_cnt:29296
(XEN) flush_counter:357, diff_time:60000, aver_flu_cnt:35700
(XEN) flush_counter:197, diff_time:60000, aver_flu_cnt:19700
(XEN) flush_counter:338, diff_time:60000, aver_flu_cnt:33800
(XEN) flush_counter:4219, diff_time:60000, aver_flu_cnt:421900
(XEN) flush_counter:13, diff_time:60000, aver_flu_cnt:1300
(XEN) flush_counter:10, diff_time:60011, aver_flu_cnt:999
(XEN) flush_counter:136, diff_time:60000, aver_flu_cnt:13600
(XEN) flush_counter:365, diff_time:60000, aver_flu_cnt:36500
(XEN) flush_counter:130, diff_time:60001, aver_flu_cnt:12999
(XEN) flush_counter:818, diff_time:60010, aver_flu_cnt:81786
(XEN) flush_counter:10, diff_time:60000, aver_flu_cnt:1000
(XEN) flush_counter:102, diff_time:60011, aver_flu_cnt:10198
(XEN) flush_counter:102, diff_time:60000, aver_flu_cnt:10200
(XEN) flush_counter:472, diff_time:60010, aver_flu_cnt:47192
(XEN) flush_counter:4, diff_time:60000, aver_flu_cnt:400
(XEN) flush_counter:471, diff_time:60000, aver_flu_cnt:47100
(XEN) flush_counter:4, diff_time:60006, aver_flu_cnt:399
(XEN) flush_counter:349, diff_time:60005, aver_flu_cnt:34897
(XEN) flush_counter:8, diff_time:60004, aver_flu_cnt:799
(XEN) flush_counter:1136, diff_time:60000, aver_flu_cnt:113600
(XEN) flush_counter:2474, diff_time:60000, aver_flu_cnt:247400
(XEN) flush_counter:870, diff_time:60006, aver_flu_cnt:86991
