(XEN) flush_counter:134289, diff_time:60003, aver_flu_cnt:13428228
(XEN) flush_counter:7746, diff_time:60000, aver_flu_cnt:774600
(XEN) flush_counter:813, diff_time:60004, aver_flu_cnt:81294
(XEN) flush_counter:0, diff_time:60003, aver_flu_cnt:0
(XEN) flush_counter:89, diff_time:60003, aver_flu_cnt:8899
(XEN) flush_counter:0, diff_time:60004, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60000, aver_flu_cnt:0
(XEN) flush_counter:0, diff_time:60001, aver_flu_cnt:0
(XEN) flush_counter:10897, diff_time:60000, aver_flu_cnt:1089700
(XEN) flush_counter:14029, diff_time:60000, aver_flu_cnt:1402900
(XEN) flush_counter:1060, diff_time:60000, aver_flu_cnt:106000
(XEN) flush_counter:11859, diff_time:60000, aver_flu_cnt:1185900
(XEN) flush_counter:16333, diff_time:60000, aver_flu_cnt:1633300
(XEN) flush_counter:24400, diff_time:60004, aver_flu_cnt:2439837
(XEN) flush_counter:1465, diff_time:60000, aver_flu_cnt:146500
(XEN) flush_counter:1690, diff_time:60003, aver_flu_cnt:168991
(XEN) flush_counter:1859, diff_time:60000, aver_flu_cnt:185900
(XEN) flush_counter:2095, diff_time:60001, aver_flu_cnt:209496
(XEN) flush_counter:2197, diff_time:60000, aver_flu_cnt:219700
(XEN) flush_counter:2259, diff_time:60000, aver_flu_cnt:225900
(XEN) flush_counter:2228, diff_time:60004, aver_flu_cnt:222785
(XEN) flush_counter:3585, diff_time:60002, aver_flu_cnt:358488
(XEN) flush_counter:7082, diff_time:60003, aver_flu_cnt:708164
(XEN) flush_counter:1042, diff_time:60001, aver_flu_cnt:104198
(XEN) flush_counter:521, diff_time:60004, aver_flu_cnt:52096
(XEN) flush_counter:521, diff_time:60000, aver_flu_cnt:52100
(XEN) flush_counter:91, diff_time:60003, aver_flu_cnt:9099
(XEN) flush_counter:698, diff_time:60004, aver_flu_cnt:69795
